iter	Passed	Remaining
0	6	6729
1	12	6195
2	17	5964
3	23	5781
4	28	5661
5	34	5637
6	39	5589
7	44	5537
8	50	5510
9	55	5511
10	60	5469
11	65	5415
12	71	5433
13	77	5492
14	82	5438
15	87	5393
16	92	5353
17	97	5302
18	102	5273
19	106	5234
20	111	5217
21	116	5196
22	121	5171
23	126	5156
24	131	5133
25	137	5134
26	143	5162
27	148	5152
28	153	5153
29	158	5132
30	163	5112
31	169	5124
32	174	5107
33	179	5088
34	184	5078
35	189	5065
36	194	5050
37	199	5038
38	203	5020
39	208	5007
40	213	4998
41	218	4981
42	223	4974
43	228	4959
44	233	4947
45	237	4930
46	242	4916
47	248	4920
48	253	4914
49	258	4905
50	263	4897
51	267	4884
52	273	4881
53	278	4872
54	283	4866
55	288	4858
56	292	4846
57	297	4836
58	303	4834
59	308	4828
60	313	4827
61	319	4828
62	324	4820
63	329	4813
64	334	4805
65	338	4795
66	344	4795
67	350	4801
68	355	4791
69	360	4789
70	365	4782
71	370	4776
72	375	4768
73	380	4764
74	385	4753
75	390	4746
76	395	4737
77	400	4735
78	405	4727
79	410	4718
80	415	4710
81	420	4709
82	425	4702
83	430	4692
84	435	4684
85	440	4681
86	445	4673
87	450	4666
88	455	4661
89	460	4653
90	465	4648
91	470	4639
92	475	4632
93	479	4625
94	484	4618
95	490	4614
96	495	4610
97	500	4602
98	504	4595
99	509	4586
100	514	4580
101	519	4573
102	524	4565
103	528	4555
104	534	4551
105	538	4545
106	543	4540
107	548	4531
108	553	4525
109	558	4517
110	563	4510
111	568	4505
112	573	4498
113	577	4490
114	582	4485
115	587	4479
116	592	4474
117	597	4466
118	602	4460
119	607	4452
120	612	4448
121	617	4440
122	621	4433
123	626	4427
124	632	4426
125	637	4423
126	643	4424
127	650	4434
128	657	4437
129	662	4432
130	667	4430
131	672	4424
132	678	4423
133	683	4418
134	688	4414
135	693	4407
136	698	4401
137	703	4392
138	708	4386
139	713	4381
140	717	4373
141	722	4365
142	727	4361
143	732	4354
144	737	4349
145	742	4342
146	751	4358
147	756	4357
148	765	4374
149	770	4367
150	779	4380
151	784	4377
152	789	4373
153	798	4387
154	802	4374
155	809	4378
156	816	4382
157	821	4377
158	829	4386
159	834	4379
160	840	4379
161	847	4385
162	852	4378
163	859	4381
164	865	4379
165	870	4373
166	877	4378
167	882	4372
168	887	4365
169	895	4374
170	901	4370
171	908	4373
172	913	4368
173	920	4369
174	929	4381
175	934	4373
176	943	4388
177	949	4386
178	958	4395
179	964	4391
180	970	4389
181	976	4390
182	981	4381
183	988	4385
184	993	4377
185	998	4371
186	1007	4378
187	1012	4371
188	1018	4370
189	1024	4369
190	1029	4360
191	1036	4363
192	1041	4356
193	1046	4347
194	1053	4347
195	1058	4341
196	1063	4335
197	1071	4338
198	1076	4331
199	1081	4327
200	1088	4328
201	1094	4322
202	1100	4322
203	1105	4314
204	1110	4307
205	1117	4307
206	1122	4300
207	1127	4292
208	1135	4296
209	1140	4288
210	1144	4280
211	1152	4282
212	1156	4274
213	1163	4271
214	1170	4275
215	1175	4267
216	1185	4276
217	1190	4269
218	1197	4269
219	1203	4266
220	1208	4260
221	1216	4262
222	1221	4255
223	1228	4255
224	1234	4252
225	1239	4244
226	1246	4244
227	1251	4237
228	1256	4229
229	1264	4232
230	1270	4230
231	1278	4230
232	1282	4223
233	1287	4216
234	1295	4217
235	1301	4212
236	1308	4212
237	1314	4208
238	1319	4201
239	1327	4203
240	1333	4199
241	1339	4195
242	1346	4195
243	1351	4188
244	1358	4185
245	1363	4179
246	1368	4172
247	1377	4175
248	1381	4168
249	1388	4165
250	1393	4158
251	1398	4150
252	1403	4145
253	1409	4141
254	1415	4134
255	1421	4130
256	1426	4123
257	1431	4116
258	1436	4110
259	1443	4108
260	1448	4101
261	1455	4100
262	1462	4097
263	1468	4094
264	1475	4093
265	1483	4093
266	1490	4091
267	1495	4084
268	1502	4083
269	1509	4080
270	1515	4076
271	1521	4071
272	1526	4064
273	1531	4058
274	1538	4056
275	1543	4048
276	1549	4044
277	1554	4038
278	1560	4031
279	1565	4024
280	1570	4017
281	1575	4012
282	1581	4006
283	1586	4000
284	1591	3993
285	1597	3989
286	1604	3987
287	1610	3980
288	1616	3976
289	1622	3972
290	1627	3966
291	1634	3962
292	1638	3954
293	1644	3949
294	1649	3943
295	1655	3937
296	1660	3930
297	1665	3923
298	1670	3916
299	1675	3909
300	1680	3902
301	1685	3894
302	1690	3889
303	1695	3881
304	1700	3874
305	1705	3868
306	1711	3862
307	1715	3855
308	1720	3848
309	1726	3842
310	1731	3836
311	1736	3829
312	1741	3823
313	1746	3816
314	1752	3811
315	1757	3805
316	1763	3799
317	1769	3793
318	1774	3788
319	1779	3782
320	1785	3775
321	1790	3770
322	1795	3764
323	1800	3757
324	1807	3753
325	1813	3749
326	1818	3742
327	1823	3736
328	1828	3730
329	1833	3723
330	1838	3716
331	1844	3710
332	1848	3703
333	1854	3697
334	1858	3690
335	1863	3683
336	1869	3677
337	1874	3670
338	1878	3663
339	1884	3657
340	1889	3650
341	1894	3644
342	1899	3638
343	1907	3636
344	1912	3630
345	1917	3624
346	1922	3618
347	1927	3612
348	1933	3606
349	1940	3603
350	1946	3598
351	1952	3594
352	1959	3591
353	1966	3587
354	1971	3582
355	1976	3575
356	1983	3573
357	1990	3569
358	2000	3571
359	2007	3569
360	2014	3565
361	2019	3560
362	2025	3553
363	2030	3548
364	2036	3542
365	2041	3537
366	2047	3531
367	2052	3524
368	2057	3518
369	2063	3512
370	2068	3506
371	2072	3499
372	2077	3492
373	2082	3485
374	2087	3479
375	2092	3472
376	2097	3465
377	2102	3459
378	2107	3453
379	2112	3446
380	2117	3439
381	2122	3433
382	2127	3426
383	2132	3420
384	2136	3413
385	2142	3407
386	2146	3400
387	2151	3393
388	2156	3386
389	2161	3380
390	2166	3373
391	2170	3366
392	2175	3360
393	2181	3355
394	2186	3349
395	2191	3343
396	2197	3337
397	2202	3330
398	2207	3324
399	2211	3317
400	2219	3314
401	2224	3308
402	2228	3301
403	2233	3294
404	2238	3288
405	2243	3282
406	2248	3275
407	2253	3269
408	2258	3263
409	2263	3257
410	2268	3250
411	2272	3243
412	2277	3237
413	2282	3230
414	2287	3224
415	2291	3217
416	2296	3210
417	2301	3204
418	2306	3198
